DATE,"Civilian Labor Force Participation Rate Bachelor's Degree and Higher, 25 years and over"
4/1/2010,77
5/1/2010,77.1
6/1/2010,77.2
7/1/2010,76.4
8/1/2010,75.9
9/1/2010,76.7
10/1/2010,76.2
11/1/2010,76.6
12/1/2010,77.1
1/1/2011,76.4
2/1/2011,76.6
3/1/2011,76.5
4/1/2011,76.8
5/1/2011,77.3
6/1/2011,76.8
7/1/2011,76.3
8/1/2011,76.1
9/1/2011,76.5
10/1/2011,76
11/1/2011,76
12/1/2011,76.1
1/1/2012,75.6
2/1/2012,76
3/1/2012,76.1
4/1/2012,76.1
5/1/2012,76.7
6/1/2012,76
7/1/2012,75.9
8/1/2012,75.7
9/1/2012,76.2
10/1/2012,75.5
11/1/2012,75.4
12/1/2012,75.9
1/1/2013,75.7
2/1/2013,75.5
3/1/2013,75.4
4/1/2013,75.7
5/1/2013,75.6
6/1/2013,75.5
7/1/2013,75.4
8/1/2013,75.5
9/1/2013,75.4
10/1/2013,75.2
11/1/2013,75.1
12/1/2013,75.2
1/1/2014,75.6
2/1/2014,75
3/1/2014,74.8
4/1/2014,75.4
5/1/2014,75.3
6/1/2014,75.1
7/1/2014,74.5
8/1/2014,74.7
9/1/2014,74.6
10/1/2014,74.7
11/1/2014,74.8
12/1/2014,74.7
1/1/2015,74.6
2/1/2015,74.2
3/1/2015,74.3
4/1/2015,74.7
5/1/2015,75.1
6/1/2015,74.5
7/1/2015,74.3
8/1/2015,74.3
9/1/2015,74.3
10/1/2015,74.3
11/1/2015,74.1
12/1/2015,74.3
1/1/2016,73.9
2/1/2016,73.6
3/1/2016,74.5
4/1/2016,74.4
5/1/2016,74.3
6/1/2016,74.3
7/1/2016,73.8
8/1/2016,74.1
9/1/2016,74.2
10/1/2016,74.2
11/1/2016,73.9
12/1/2016,73.7
1/1/2017,73.9
2/1/2017,73.3
3/1/2017,73.7
4/1/2017,74.1
5/1/2017,73.9
6/1/2017,74
7/1/2017,73.8
8/1/2017,74
9/1/2017,74.2
10/1/2017,73.9
11/1/2017,73.6
12/1/2017,73.4
1/1/2018,73.4
2/1/2018,73.6
3/1/2018,74.1
4/1/2018,74.2
5/1/2018,74.1
6/1/2018,74
7/1/2018,73.6
8/1/2018,74.1
9/1/2018,73.6
10/1/2018,73.5
11/1/2018,73.8
12/1/2018,73.6
