DATE,Civilian Labor Force Participation Rate 55 years and over
3/1/1958,41.8
4/1/1958,41.6
5/1/1958,41.6
6/1/1958,41.5
7/1/1958,41.2
8/1/1958,41.1
9/1/1958,41.2
10/1/1958,41.2
11/1/1958,41
12/1/1958,41
1/1/1959,40.9
2/1/1959,40.5
3/1/1959,41
4/1/1959,41
5/1/1959,41.2
6/1/1959,41
7/1/1959,41.4
8/1/1959,41.3
9/1/1959,41.3
10/1/1959,41.5
11/1/1959,41
12/1/1959,41.2
1/1/1960,40.8
2/1/1960,40.6
3/1/1960,40
4/1/1960,40.8
5/1/1960,40.7
6/1/1960,40.8
7/1/1960,40.7
8/1/1960,40.9
9/1/1960,41.2
10/1/1960,41.2
11/1/1960,41.7
12/1/1960,41.9
1/1/1961,41.9
2/1/1961,41.6
3/1/1961,41.6
4/1/1961,40.6
5/1/1961,40.7
6/1/1961,40.9
7/1/1961,40.7
8/1/1961,40.6
9/1/1961,40
10/1/1961,40.2
11/1/1961,40.1
12/1/1961,40.3
1/1/1962,40.2
2/1/1962,40.6
3/1/1962,40.6
4/1/1962,39.8
5/1/1962,40
6/1/1962,39.7
7/1/1962,39.2
8/1/1962,39.7
9/1/1962,39.9
10/1/1962,39.5
11/1/1962,39.2
12/1/1962,39.3
1/1/1963,39.3
2/1/1963,39.3
3/1/1963,39.4
4/1/1963,39.2
5/1/1963,39.5
6/1/1963,39.5
7/1/1963,39.5
8/1/1963,39.4
9/1/1963,39.7
10/1/1963,39.5
11/1/1963,39.6
12/1/1963,39.2
1/1/1964,39.3
2/1/1964,39.5
3/1/1964,39.5
4/1/1964,40.1
5/1/1964,40
6/1/1964,39.6
7/1/1964,39.4
8/1/1964,39.3
9/1/1964,39.2
10/1/1964,39.6
11/1/1964,39.2
12/1/1964,39.2
1/1/1965,39.5
2/1/1965,39.7
3/1/1965,39.7
4/1/1965,39.5
5/1/1965,39.6
6/1/1965,39.6
7/1/1965,39.5
8/1/1965,39.2
9/1/1965,39
10/1/1965,39.2
11/1/1965,38.9
12/1/1965,39.2
1/1/1966,39.3
2/1/1966,39.1
3/1/1966,39.2
4/1/1966,39.1
5/1/1966,39
6/1/1966,39.1
7/1/1966,39.3
8/1/1966,39.5
9/1/1966,39.5
10/1/1966,39.2
11/1/1966,39.5
12/1/1966,39.2
1/1/1967,39.3
2/1/1967,39
3/1/1967,38.7
4/1/1967,39.1
5/1/1967,39.1
6/1/1967,39.5
7/1/1967,39.4
8/1/1967,39.4
9/1/1967,39.5
10/1/1967,39.6
11/1/1967,39.5
12/1/1967,39.5
1/1/1968,38.9
2/1/1968,39.1
3/1/1968,39.1
4/1/1968,39
5/1/1968,39.7
6/1/1968,39.8
7/1/1968,39.4
8/1/1968,39.1
9/1/1968,39.2
10/1/1968,39.2
11/1/1968,39.4
12/1/1968,39.3
1/1/1969,39
2/1/1969,39.5
3/1/1969,39.4
4/1/1969,39.5
5/1/1969,39.3
6/1/1969,39.2
7/1/1969,39.2
8/1/1969,39.3
9/1/1969,39.3
10/1/1969,39.2
11/1/1969,39
12/1/1969,39
1/1/1970,39
2/1/1970,39.3
3/1/1970,39.4
4/1/1970,39.3
5/1/1970,39.1
6/1/1970,39
7/1/1970,38.9
8/1/1970,38.7
9/1/1970,38.6
10/1/1970,38.7
11/1/1970,38.7
12/1/1970,38.7
1/1/1971,38.9
2/1/1971,38.4
3/1/1971,38.4
4/1/1971,38.4
5/1/1971,38.4
6/1/1971,38.1
7/1/1971,37.9
8/1/1971,38
9/1/1971,38
10/1/1971,38.1
11/1/1971,38.3
12/1/1971,38.1
1/1/1972,37.7
2/1/1972,37.4
3/1/1972,37.5
4/1/1972,37.3
5/1/1972,37.4
6/1/1972,37.3
7/1/1972,37.2
8/1/1972,37.2
9/1/1972,37.3
10/1/1972,37.2
11/1/1972,36.6
12/1/1972,36.6
1/1/1973,36
2/1/1973,36.2
3/1/1973,36.2
4/1/1973,35.9
5/1/1973,35.9
6/1/1973,36
7/1/1973,36
8/1/1973,35.9
9/1/1973,35.7
10/1/1973,35.6
11/1/1973,35.5
12/1/1973,35.5
1/1/1974,35.5
2/1/1974,35.7
3/1/1974,35.5
4/1/1974,35.5
5/1/1974,35.2
6/1/1974,35.2
7/1/1974,35.1
8/1/1974,35.2
9/1/1974,35
10/1/1974,34.9
11/1/1974,34.3
12/1/1974,34.7
1/1/1975,34.8
2/1/1975,34.9
3/1/1975,34.8
4/1/1975,34.9
5/1/1975,34.9
6/1/1975,34.6
7/1/1975,34.8
8/1/1975,34.4
9/1/1975,34.3
10/1/1975,34.3
11/1/1975,34.1
12/1/1975,34.1
1/1/1976,34.2
2/1/1976,34.1
3/1/1976,33.9
4/1/1976,33.7
5/1/1976,33.6
6/1/1976,33.8
7/1/1976,33.8
8/1/1976,34
9/1/1976,34
10/1/1976,33.8
11/1/1976,33.7
12/1/1976,33.8
1/1/1977,33.5
2/1/1977,33.6
3/1/1977,33.5
4/1/1977,33.7
5/1/1977,33.8
6/1/1977,33.4
7/1/1977,33.3
8/1/1977,33.2
9/1/1977,33.6
10/1/1977,33.8
11/1/1977,33.9
12/1/1977,33.9
1/1/1978,33.7
2/1/1978,33.5
3/1/1978,33.5
4/1/1978,33.8
5/1/1978,33.7
6/1/1978,33.9
7/1/1978,33.7
8/1/1978,33.4
9/1/1978,33.6
10/1/1978,33.4
11/1/1978,33.7
12/1/1978,33.8
1/1/1979,33.9
2/1/1979,33.8
3/1/1979,33.7
4/1/1979,33.3
5/1/1979,33.4
6/1/1979,33.3
7/1/1979,33.2
8/1/1979,33.3
9/1/1979,33.3
10/1/1979,33.4
11/1/1979,33.2
12/1/1979,33.1
1/1/1980,33.3
2/1/1980,33.3
3/1/1980,32.9
4/1/1980,33
5/1/1980,32.9
6/1/1980,32.8
7/1/1980,32.8
8/1/1980,33
9/1/1980,32.6
10/1/1980,32.5
11/1/1980,32.4
12/1/1980,32.2
1/1/1981,32.3
2/1/1981,32.5
3/1/1981,32.6
4/1/1981,32.6
5/1/1981,32.6
6/1/1981,32.4
7/1/1981,32.3
8/1/1981,32.1
9/1/1981,31.8
10/1/1981,31.9
11/1/1981,31.7
12/1/1981,31.8
1/1/1982,31.8
2/1/1982,31.6
3/1/1982,31.9
4/1/1982,32
5/1/1982,32.1
6/1/1982,32.2
7/1/1982,32
8/1/1982,31.9
9/1/1982,32.3
10/1/1982,31.7
11/1/1982,31.8
12/1/1982,31.7
1/1/1983,31.6
2/1/1983,31.5
3/1/1983,31.4
4/1/1983,31.3
5/1/1983,31.2
6/1/1983,31.4
7/1/1983,31.3
8/1/1983,31.2
9/1/1983,31.5
10/1/1983,31.3
11/1/1983,31.4
12/1/1983,31.3
1/1/1984,31
2/1/1984,31
3/1/1984,30.8
4/1/1984,30.9
5/1/1984,30.8
6/1/1984,30.6
7/1/1984,30.6
8/1/1984,30.6
9/1/1984,30.7
10/1/1984,30.4
11/1/1984,30.4
12/1/1984,30.5
1/1/1985,30.4
2/1/1985,30.4
3/1/1985,30.8
4/1/1985,30.5
5/1/1985,30.3
6/1/1985,30.4
7/1/1985,30.2
8/1/1985,30.3
9/1/1985,30.2
10/1/1985,30.3
11/1/1985,30.1
12/1/1985,30
1/1/1986,30.3
2/1/1986,29.9
3/1/1986,30
4/1/1986,30
5/1/1986,30.1
6/1/1986,30.4
7/1/1986,30.4
8/1/1986,30.3
9/1/1986,30
10/1/1986,29.9
11/1/1986,30
12/1/1986,29.8
1/1/1987,29.9
2/1/1987,29.7
3/1/1987,29.9
4/1/1987,29.8
5/1/1987,30.1
6/1/1987,30.1
7/1/1987,30
8/1/1987,30
9/1/1987,30
10/1/1987,30.2
11/1/1987,30.2
12/1/1987,30.2
1/1/1988,30.1
2/1/1988,30.2
3/1/1988,29.9
4/1/1988,30.1
5/1/1988,29.8
6/1/1988,29.9
7/1/1988,29.7
8/1/1988,30
9/1/1988,30
10/1/1988,30.1
11/1/1988,30.3
12/1/1988,30.2
1/1/1989,30.5
2/1/1989,30.3
3/1/1989,30.4
4/1/1989,30.4
5/1/1989,30.4
6/1/1989,30.3
7/1/1989,30.3
8/1/1989,30.1
9/1/1989,30.1
10/1/1989,30.2
11/1/1989,30.2
12/1/1989,30.4
1/1/1990,30.3
2/1/1990,30.2
3/1/1990,30.1
4/1/1990,30
5/1/1990,30.2
6/1/1990,29.9
7/1/1990,29.9
8/1/1990,30.1
9/1/1990,30.1
10/1/1990,30
11/1/1990,30
12/1/1990,30
1/1/1991,29.6
2/1/1991,29.7
3/1/1991,29.7
4/1/1991,29.8
5/1/1991,29.5
6/1/1991,29.7
7/1/1991,29.6
8/1/1991,29.4
9/1/1991,29.6
10/1/1991,29.4
11/1/1991,29.4
12/1/1991,29.3
1/1/1992,29.7
2/1/1992,29.7
3/1/1992,29.9
4/1/1992,29.8
5/1/1992,29.8
6/1/1992,29.8
7/1/1992,29.9
8/1/1992,29.6
9/1/1992,29.5
10/1/1992,29.4
11/1/1992,29.6
12/1/1992,29.4
1/1/1993,29.2
2/1/1993,29.6
3/1/1993,29.3
4/1/1993,29.2
5/1/1993,29.5
6/1/1993,29.6
7/1/1993,29.2
8/1/1993,29.5
9/1/1993,29.3
10/1/1993,29.4
11/1/1993,29.3
12/1/1993,29.4
1/1/1994,30.4
2/1/1994,30.1
3/1/1994,29.8
4/1/1994,29.8
5/1/1994,30.3
6/1/1994,30
7/1/1994,29.9
8/1/1994,30.1
9/1/1994,30
10/1/1994,30.1
11/1/1994,30.4
12/1/1994,30.2
1/1/1995,30.2
2/1/1995,30
3/1/1995,29.9
4/1/1995,30
5/1/1995,29.8
6/1/1995,29.7
7/1/1995,30.1
8/1/1995,30
9/1/1995,30.3
10/1/1995,30.4
11/1/1995,30.2
12/1/1995,29.9
1/1/1996,29.9
2/1/1996,30.2
3/1/1996,30.2
4/1/1996,29.8
5/1/1996,30.2
6/1/1996,30.4
7/1/1996,30.6
8/1/1996,30.4
9/1/1996,30.4
10/1/1996,30.3
11/1/1996,30.4
12/1/1996,30.5
1/1/1997,30.7
2/1/1997,30.6
3/1/1997,31
4/1/1997,30.8
5/1/1997,31.1
6/1/1997,30.8
7/1/1997,30.7
8/1/1997,30.9
9/1/1997,30.9
10/1/1997,31
11/1/1997,31.4
12/1/1997,31.4
1/1/1998,31.1
2/1/1998,31.1
3/1/1998,30.9
4/1/1998,31.2
5/1/1998,31.3
6/1/1998,31.1
7/1/1998,31.2
8/1/1998,31.1
9/1/1998,31.4
10/1/1998,31.5
11/1/1998,31.7
12/1/1998,31.8
1/1/1999,31.5
2/1/1999,31.6
3/1/1999,31.7
4/1/1999,31.8
5/1/1999,31.7
6/1/1999,32.1
7/1/1999,32.1
8/1/1999,32
9/1/1999,31.9
10/1/1999,31.8
11/1/1999,31.8
12/1/1999,32.1
1/1/2000,32.3
2/1/2000,32.4
3/1/2000,32.4
4/1/2000,32.2
5/1/2000,32.2
6/1/2000,32.2
7/1/2000,32.3
8/1/2000,32.5
9/1/2000,32.4
10/1/2000,32.4
11/1/2000,32.3
12/1/2000,32.6
1/1/2001,32.8
2/1/2001,32.7
3/1/2001,32.8
4/1/2001,33
5/1/2001,33
6/1/2001,33.1
7/1/2001,33.2
8/1/2001,33.4
9/1/2001,33.5
10/1/2001,33.5
11/1/2001,33.6
12/1/2001,33.8
1/1/2002,33.8
2/1/2002,34.1
3/1/2002,33.8
4/1/2002,34.2
5/1/2002,34.4
6/1/2002,34.6
7/1/2002,34.7
8/1/2002,34.8
9/1/2002,35.2
10/1/2002,35.1
11/1/2002,35
12/1/2002,34.9
1/1/2003,35.5
2/1/2003,35.5
3/1/2003,35.5
4/1/2003,35.5
5/1/2003,35.6
6/1/2003,35.6
7/1/2003,35.5
8/1/2003,35.7
9/1/2003,35.6
10/1/2003,35.8
11/1/2003,36.1
12/1/2003,36
1/1/2004,36
2/1/2004,36.2
3/1/2004,36.3
4/1/2004,35.8
5/1/2004,36
6/1/2004,36.2
7/1/2004,36.1
8/1/2004,36.4
9/1/2004,36.3
10/1/2004,36.2
11/1/2004,36.5
12/1/2004,36.6
1/1/2005,36.3
2/1/2005,36.7
3/1/2005,36.6
4/1/2005,37.2
5/1/2005,37.1
6/1/2005,37.2
7/1/2005,37.3
8/1/2005,37.5
9/1/2005,37.6
10/1/2005,37.6
11/1/2005,37.4
12/1/2005,37.6
1/1/2006,37.6
2/1/2006,37.5
3/1/2006,37.6
4/1/2006,38
5/1/2006,37.9
6/1/2006,38
7/1/2006,38
8/1/2006,38.1
9/1/2006,38.3
10/1/2006,38.3
11/1/2006,38.4
12/1/2006,38.5
1/1/2007,38
2/1/2007,38.3
3/1/2007,38.5
4/1/2007,38.2
5/1/2007,38.6
6/1/2007,38.7
7/1/2007,38.9
8/1/2007,38.8
9/1/2007,38.9
10/1/2007,38.7
11/1/2007,38.9
12/1/2007,38.9
1/1/2008,39.1
2/1/2008,39.2
3/1/2008,39.3
4/1/2008,39
5/1/2008,39
6/1/2008,39.2
7/1/2008,39.5
8/1/2008,39.7
9/1/2008,39.5
10/1/2008,39.9
11/1/2008,39.9
12/1/2008,40
1/1/2009,40
2/1/2009,39.9
3/1/2009,39.9
4/1/2009,39.8
5/1/2009,40.2
6/1/2009,40.1
7/1/2009,40
8/1/2009,40
9/1/2009,39.9
10/1/2009,39.9
11/1/2009,40
12/1/2009,39.9
1/1/2010,40
2/1/2010,40.1
3/1/2010,40.2
4/1/2010,40.3
5/1/2010,40.4
6/1/2010,40.3
7/1/2010,40.4
8/1/2010,40.5
9/1/2010,40.4
10/1/2010,40
11/1/2010,40.1
12/1/2010,40.2
1/1/2011,39.9
2/1/2011,40
3/1/2011,40
4/1/2011,40.2
5/1/2011,40.2
6/1/2011,40.2
7/1/2011,40.2
8/1/2011,40.3
9/1/2011,40.6
10/1/2011,40.6
11/1/2011,40.4
12/1/2011,40.3
1/1/2012,40.1
2/1/2012,40.4
3/1/2012,40.4
4/1/2012,40.3
5/1/2012,40.5
6/1/2012,40.6
7/1/2012,40.2
8/1/2012,40.4
9/1/2012,40.4
10/1/2012,40.7
11/1/2012,40.7
12/1/2012,40.7
1/1/2013,40.7
2/1/2013,40.6
3/1/2013,40.5
4/1/2013,40.4
5/1/2013,40.5
6/1/2013,40.5
7/1/2013,40.2
8/1/2013,40.4
9/1/2013,40.1
10/1/2013,40.1
11/1/2013,39.9
12/1/2013,39.9
1/1/2014,39.9
2/1/2014,40
3/1/2014,39.9
4/1/2014,39.9
5/1/2014,40.1
6/1/2014,39.9
7/1/2014,40
8/1/2014,39.9
9/1/2014,39.9
10/1/2014,40
11/1/2014,40.1
12/1/2014,39.9
1/1/2015,40.1
2/1/2015,39.7
3/1/2015,39.9
4/1/2015,40.1
5/1/2015,40
6/1/2015,39.9
7/1/2015,40
8/1/2015,39.8
9/1/2015,39.7
10/1/2015,39.9
11/1/2015,40
12/1/2015,39.9
1/1/2016,40
2/1/2016,40.1
3/1/2016,40.2
4/1/2016,40.1
5/1/2016,39.8
6/1/2016,40
7/1/2016,40.2
8/1/2016,39.9
9/1/2016,40
10/1/2016,40
11/1/2016,39.9
12/1/2016,39.7
1/1/2017,40
2/1/2017,40
3/1/2017,40.1
4/1/2017,39.9
5/1/2017,39.9
6/1/2017,40
7/1/2017,40
8/1/2017,40.1
9/1/2017,40.1
10/1/2017,39.9
11/1/2017,39.9
12/1/2017,39.8
1/1/2018,39.6
2/1/2018,39.9
3/1/2018,39.8
4/1/2018,39.9
5/1/2018,40.1
6/1/2018,40.1
7/1/2018,40.1
8/1/2018,40.2
9/1/2018,40.1
10/1/2018,40.1
11/1/2018,40.2
12/1/2018,40.3
